Balance,Qual_miles,cc1_miles,cc2_miles,cc3_miles,Bonus_miles,Bonus_trans,Flight_miles_12mo,Flight_trans_12,Days_since_enroll,Award,cc1_miles_Updated,cc2_miles_Updated,cc3_miles_Updated
28143,0,1,1,1,174,1,0,0,7000,0,2500,2500,2500
19244,0,1,1,1,215,2,0,0,6968,0,2500,2500,2500
41354,0,1,1,1,4123,4,0,0,7034,0,2500,2500,2500
14776,0,1,1,1,500,1,0,0,6952,0,2500,2500,2500
97752,0,4,1,1,43300,26,2077,4,6935,1,37500,2500,2500
16420,0,1,1,1,0,0,0,0,6942,0,2500,2500,2500
84914,0,3,1,1,27482,25,0,0,6994,0,17500,2500,2500
20856,0,1,1,1,5250,4,250,1,6938,1,2500,2500,2500
443003,0,3,2,1,1753,43,3850,12,6948,1,17500,7500,2500
104860,0,3,1,1,28426,28,1150,3,6931,1,17500,2500,2500
40091,0,2,1,1,7278,10,0,0,6959,0,7500,2500,2500
96522,0,5,1,1,61105,19,0,0,6924,1,50000,2500,2500
43382,0,2,1,1,11150,20,0,0,6924,0,7500,2500,2500
43097,0,1,1,1,3258,6,0,0,6918,0,2500,2500,2500
17648,0,1,1,1,0,0,0,0,6912,0,2500,2500,2500
28495,0,4,1,1,49442,15,0,0,6912,1,37500,2500,2500
51890,0,4,1,1,48963,16,0,0,6910,1,37500,2500,2500
13958,0,1,1,1,4291,5,0,0,6905,1,2500,2500,2500
91473,0,3,1,1,27408,17,0,0,6903,1,17500,2500,2500
23354,0,3,1,1,10447,5,0,0,6896,1,17500,2500,2500
120576,0,5,1,1,58831,23,250,2,6896,1,50000,2500,2500
185681,2024,1,1,1,13300,16,1800,9,6896,1,2500,2500,2500
20584,0,1,1,1,3450,11,3450,11,6884,0,2500,2500,2500
66275,0,1,1,1,2533,11,150,1,6884,0,2500,2500,2500
205651,500,1,1,1,4025,21,700,4,7932,0,2500,2500,2500
20726,0,1,1,1,1375,4,0,0,7924,0,2500,2500,2500
18521,0,1,1,1,1227,2,1227,2,7917,0,2500,2500,2500
8828,0,1,1,1,0,0,0,0,7914,0,2500,2500,2500
59763,0,3,1,1,33772,20,100,1,7907,1,17500,2500,2500
19221,0,1,1,1,4655,8,500,1,7896,1,2500,2500,2500
177926,0,3,1,1,20797,13,0,0,7886,0,17500,2500,2500
10021,0,1,1,1,0,0,0,0,7879,0,2500,2500,2500
276571,0,4,1,1,42044,23,0,0,7872,0,37500,2500,2500
18047,0,1,1,1,100,1,0,0,7868,0,2500,2500,2500
43832,0,1,1,1,0,0,0,0,7865,0,2500,2500,2500
123759,0,4,1,1,50572,23,2500,5,7865,1,37500,2500,2500
23193,0,1,1,1,650,4,550,3,7861,1,2500,2500,2500
68666,0,1,1,1,350,2,350,2,7861,0,2500,2500,2500
59990,0,3,1,1,27878,17,0,0,7854,1,17500,2500,2500
2176,0,1,1,1,0,0,0,0,7847,1,2500,2500,2500
34616,0,1,1,1,1750,4,500,1,7850,0,2500,2500,2500
10470,0,4,1,1,38094,26,0,0,7840,1,37500,2500,2500
60313,0,1,1,1,10000,26,3250,9,7829,1,2500,2500,2500
619393,0,3,1,1,15008,14,0,0,7819,1,17500,2500,2500
121260,0,3,1,1,18493,18,0,0,7808,0,17500,2500,2500
288865,967,1,1,1,23600,14,2000,4,6884,1,2500,2500,2500
92336,0,2,1,1,11214,6,0,0,6884,0,7500,2500,2500
36924,0,1,1,1,5900,6,300,2,6879,1,2500,2500,2500
70312,0,3,1,1,34678,24,500,1,6875,1,17500,2500,2500
17051,0,1,1,1,1150,4,1150,4,6868,0,2500,2500,2500
108137,0,1,1,1,6368,5,6368,5,6844,0,2500,2500,2500
1300,0,1,1,1,370,1,0,0,6868,0,2500,2500,2500
118531,0,4,1,1,44577,38,0,0,6868,1,37500,2500,2500
121395,0,1,1,1,4970,8,650,2,6889,1,2500,2500,2500
38348,0,1,1,1,0,0,0,0,6861,0,2500,2500,2500
14448,0,1,1,1,1625,6,0,0,6856,0,2500,2500,2500
75971,0,4,1,1,34339,14,0,0,6869,0,37500,2500,2500
36298,0,1,1,1,3100,5,600,3,6865,1,2500,2500,2500
38077,0,3,1,1,34024,8,0,0,6837,0,17500,2500,2500
95118,0,3,1,1,23188,23,2200,7,6865,1,17500,2500,2500
134457,0,3,1,1,15588,14,0,0,6861,0,17500,2500,2500
19918,0,1,1,1,17601,11,0,0,6863,0,2500,2500,2500
10120,0,1,1,1,0,0,0,0,6864,0,2500,2500,2500
362642,0,1,1,1,28079,8,0,0,6835,0,2500,2500,2500
80250,0,1,1,1,895,2,0,0,6833,0,2500,2500,2500
53914,0,3,1,1,33767,45,5550,29,6826,1,17500,2500,2500
9375,0,1,1,1,1750,7,0,0,6826,0,2500,2500,2500
83237,0,4,1,1,35287,18,0,0,6837,0,37500,2500,2500
230715,0,3,1,1,24047,12,0,0,6826,1,17500,2500,2500
47457,0,3,1,1,12621,16,0,0,7766,1,17500,2500,2500
84409,5031,2,1,1,15436,16,1150,4,7766,0,7500,2500,2500
